mu,sigma2
8.064614816662472,3.8280708515346107
7.897530649203027,5.017268459297154
8.17251168050566,2.51269788934373
7.899668793665118,2.3973191589685956
7.81569514039719,2.2103182773854417
7.182604615137294,3.222488841244921
8.532135457177091,2.8728158117589015
8.30910933141763,4.085669521452184
7.976543062703211,2.9620603186504497
8.847995442884747,2.878329340589517
7.423756710852059,4.120010052484836
6.940688929473845,7.7997141474287925
8.059447397030073,4.024833616832234
7.545035269005868,1.7841537061773092
8.78190113860306,2.122773889745685
7.857261147656143,3.2103520167370556
7.78733144761804,3.242857844349496
8.037811662933066,3.515429657332856
7.519064524936979,3.7360886769862396
7.614219670221234,3.288179861800331
7.690354313407709,2.0496484944057634
7.947577501271899,2.9294288373350588
7.872644413250498,1.9558865821390785
8.11080486557585,2.6136846304714814
7.95727686103488,3.5011490329116435
8.031464239405622,3.7908924170125915
7.507682322361756,2.7132225626040234
7.822200647697451,2.317461901368375
7.69094119599642,2.222344648424395
8.315130675160974,3.024132355166172
7.949140932145193,4.601121525625267
8.171601804674589,2.463145263046544
8.247888499738778,3.936655440378205
7.751049692733043,3.1030699799796078
7.845358812718255,4.036781544814681
8.098282589065022,5.793957309269169
7.965269888480764,2.900207983862048
8.070498241322841,1.9739970102230948
8.503626255392383,3.854999148129176
7.922686268535129,2.5874119952443704
8.205742585650688,2.924322255999503
8.788628443169491,7.405660545029313
7.333757641219258,2.1351457989540243
7.904938943733996,3.612522011329657
7.865424534204541,2.4509235109829057
8.210951998778848,1.9890177592359979
7.810448329738977,1.8650133165946137
7.936167842049421,1.9467218289408925
7.881245745785933,2.1401956087008895
7.564722060157792,2.5562260200436806
8.484427819284644,4.694161081591228
7.780883731729089,4.414813961007743
7.789919967048249,2.4845950711165457
8.179371986033697,2.077534153314516
7.711423123631376,5.116928424116749
7.365438598096229,2.9547140665896614
7.81042953796609,2.6610742780885266
7.342965808259892,2.2011652824519325
8.401197174708429,3.079239494241644
7.653696870237388,3.7747612759553086
7.727120374842593,1.86506097112713
7.875639248149078,3.2359094330567557
8.09566515053539,1.9674358807109944
7.37671340534653,3.9959423255189876
7.605355552097459,3.4462011190208837
7.696973364160908,1.7657854626394531
7.7696646009399934,2.115269367777129
8.155878545298226,2.782251817561227
