state,state_po,county_name,fips,totalvotes2020,democrat2020,republican2020,twoparty2020,gop_pct2020,dem_pct2020,totalvotes2016,democrat2016,republican2016,twoparty2016,gop_pct2016,dem_pct2016,pct_change_gop,pct_change_dem
ALABAMA,AL,CHILTON,01021,19310,3073,16085,19158,83.95970351811253,16.040296481887463,18369,2911,15081,17992,83.82058692752334,16.179413072476656,0.16596947801079676,-0.8598370655722332
ALABAMA,AL,CHOCTAW,01023,7464,3127,4296,7423,57.87417486191567,42.12582513808433,7292,3109,4106,7215,56.90921690921691,43.09078309078309,1.6956092617441687,-2.239360446677885
ALABAMA,AL,CLARKE,01025,13135,5755,7324,13079,55.998164997323954,44.001835002676046,13031,5749,7140,12889,55.39607417177438,44.60392582822562,1.0868835644969765,-1.3498606106294053
ALABAMA,AL,CLAY,01027,6930,1267,5601,6868,81.55212580081538,18.447874199184625,6624,1237,5245,6482,80.91638383215057,19.083616167849428,0.7856776817703137,-3.3313495884278566
ALABAMA,AL,CLEBURNE,01029,7227,675,6484,7159,90.57130884201705,9.428691157982959,6593,684,5764,6448,89.39205955334988,10.607940446650124,1.319187962062096,-11.116665808955972
ALABAMA,AL,COFFEE,01031,22275,5076,16899,21975,76.90102389078498,23.098976109215016,20767,4221,15875,20096,78.99582006369427,21.004179936305732,-2.6517810324903968,9.973234752614314
ALABAMA,AL,COLBERT,01033,27886,8343,19203,27546,69.71248094097146,30.287519059028533,24915,7312,16746,24058,69.60678360628481,30.39321639371519,0.15184918654553847,-0.34776620321274043
ALABAMA,AL,CONECUH,01035,6441,2966,3442,6408,53.714107365792756,46.285892634207244,6585,3080,3420,6500,52.61538461538461,47.38461538461539,2.088215753699685,-2.31873307716004
ALABAMA,AL,COOSA,01037,5479,1796,3631,5427,66.90620969227935,33.09379030772065,5252,1782,3381,5163,65.48518303312028,34.51481696687972,2.1699972319545235,-4.117149630324501
ALABAMA,AL,COVINGTON,01039,17430,2721,14586,17307,84.2780377881782,15.721962211821806,15940,2387,13267,15654,84.75150121374729,15.248498786252714,-0.5586490136322175,3.104983855826804
ALABAMA,AL,CRENSHAW,01041,6617,1700,4864,6564,74.1011578305911,25.898842169408898,6267,1664,4513,6177,73.06135664562085,26.93864335437915,1.4231889917042606,-3.8598869708901695
ALABAMA,AL,CULLMAN,01043,41851,4478,36880,41358,89.17259055080032,10.82740944919967,37873,3798,32989,36787,89.67570065512274,10.324299344877266,-0.5610328111706586,4.8730677745414175
ALABAMA,AL,DALE,01045,19738,5170,14303,19473,73.45041852821856,26.54958147178144,18749,4413,13808,18221,75.78069260743099,24.219307392569014,-3.0750234644647767,9.621555403881633
ALABAMA,AL,DALLAS,01047,17864,12230,5524,17754,31.114115128985016,68.88588487101498,18792,12836,5789,18625,31.081879194630872,68.91812080536913,0.10371295169215866,-0.04677425033857707
ALABAMA,AL,DEKALB,01049,29356,4281,24767,29048,85.26232442853208,14.737675571467916,25826,3622,21405,25027,85.52763015942782,14.472369840572181,-0.31019885667495917,1.8331878871141738
ALABAMA,AL,ELMORE,01051,41030,10367,30164,40531,74.42204732180306,25.577952678196937,37260,8443,27634,36077,76.59727804418327,23.402721955816727,-2.839827703962894,9.294776592598698
ALABAMA,AL,ESCAMBIA,01053,15910,4918,10869,15787,68.847786153164,31.152213846836005,14845,4605,9935,14540,68.32874828060523,31.671251719394775,0.7596185875193173,-1.638829677959719
ALABAMA,AL,ETOWAH,01055,47728,11567,35528,47095,75.4390062639346,24.5609937360654,44164,10442,32353,42795,75.5999532655684,24.40004673443159,-0.2128929909102295,0.6596175957593209
ALABAMA,AL,FAYETTE,01057,8766,1395,7300,8695,83.95629672225417,16.04370327774583,8249,1362,6712,8074,83.13103789943027,16.86896210056973,0.9927204611859475,-4.892173080381901
ALABAMA,AL,FRANKLIN,01059,12578,2086,10376,12462,83.26111378590916,16.738886214090837,12040,2197,9466,11663,81.1626511189231,18.83734888107691,2.585502861299238,-11.139904453827299
ALABAMA,AL,GENEVA,01061,12545,1595,10848,12443,87.18154785823354,12.818452141766455,11758,1525,9994,11519,86.76100355933674,13.238996440663252,0.48471580738365105,-3.1765572321260316
ALABAMA,AL,GREENE,01063,4775,3884,875,4759,18.386215591510823,81.61378440848918,4880,4013,838,4851,17.27478870336013,82.72521129663987,6.433808871621727,-1.3435165298826268
ALABAMA,AL,HALE,01065,7900,4663,3192,7855,40.63653723742839,59.36346276257161,8040,4775,3173,7948,39.92199295420232,60.07800704579768,1.7898512332432448,-1.1893608299645808
ALABAMA,AL,HENRY,01067,9298,2606,6607,9213,71.71388255725606,28.286117442743947,8072,2292,5632,7924,71.07521453811206,28.924785461887936,0.8985805013666637,-2.208030272119099
ALABAMA,AL,HOUSTON,01069,46173,12917,32618,45535,71.63280992643021,28.36719007356978,42639,10664,30728,41392,74.23656745264786,25.763432547352146,-3.5073786619760794,10.106407682408136
ALABAMA,AL,JACKSON,01071,23636,3717,19670,23387,84.10655492367555,15.893445076324454,20984,3673,16672,20345,81.9464241828459,18.05357581715409,2.636028066349505,-11.96511296547208
ALABAMA,AL,JEFFERSON,01073,325848,181688,138843,320531,43.31655908476871,56.68344091523129,304191,156873,134768,291641,46.210237929509226,53.789762070490774,-6.261986465325364,5.379608931804514
ALABAMA,AL,LAMAR,01075,7193,978,6174,7152,86.3255033557047,13.674496644295303,6966,1036,5823,6859,84.89575739903776,15.10424260096224,1.6841194430325501,-9.465856676427142
ALABAMA,AL,LAUDERDALE,01077,44339,11915,31721,43636,72.69456412136768,27.305435878632323,39525,9952,27899,37851,73.7074317719479,26.292568228052097,-1.374173032800885,3.8522963667717125
